room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
14297674,1480,86685076,Shared room,,Lisbon,,Santa Maria Maior,3,3.0,2,1.0,,30.0,,Twin room (DORMITORY STYLE),2017-07-28 01:19:38.602843,38.717797,-9.13411,0101000020E61000001422E010AA4422C05D15A8C5E05B4340
15537505,1480,48360716,Shared room,,Lisbon,,Arroios,2,0.0,4,1.0,,18.0,,Bed in Cozy Shared Dormitory Room,2017-07-28 01:19:38.598439,38.730367,-9.140124,0101000020E6100000F8C43A55BE4722C0F08975AA7C5D4340
17378961,1480,117425901,Shared room,,Lisbon,,Arroios,0,0.0,12,1.0,,16.0,,Baixa Chiado Room - Metro Hostel,2017-07-28 01:19:38.595283,38.733391,-9.142546,0101000020E6100000EA5910CAFB4822C022179CC1DF5D4340
13078189,1480,72524317,Shared room,,Lisbon,,Ajuda,7,5.0,2,1.0,,18.0,,Sofa bed for two in sunny elegant living room.,2017-07-28 01:19:38.592514,38.703416,-9.200875,0101000020E6100000022B8716D96622C0D7BD1589095A4340
5723547,1480,29676067,Shared room,,Lisbon,,Misericórdia,38,5.0,12,1.0,,27.0,,The backpacker's spacious 12 bed,2017-07-28 01:19:38.587391,38.715266,-9.144653,0101000020E61000005D8940F50F4A22C06AF816D68D5B4340
18652768,1480,96659355,Shared room,,Lisbon,,Alvalade,0,0.0,1,1.0,,18.0,,One bed inside a twin room in a cozy apartment,2017-07-28 01:19:38.585393,38.754795,-9.14657,0101000020E6100000422619390B4B22C09817601F9D604340
19501279,1480,133878061,Shared room,,Lisbon,,Benfica,0,0.0,6,1.0,,20.0,,Shared Room 6,2017-07-28 01:19:38.581355,38.749668,-9.200376,0101000020E61000007DCEDDAE976622C0CA6DFB1EF55F4340
11693356,1480,28812904,Shared room,,Lisbon,,Santa Maria Maior,4,4.5,1,1.0,,15.0,,Lisbon Cozy Flat - Bunk Beds 7,2017-07-28 01:19:38.579395,38.711736,-9.136816,0101000020E61000009A232BBF0C4622C064B14D2A1A5B4340
11836748,1480,53320272,Shared room,,Lisbon,,Avenidas Novas,7,4.0,8,1.0,,18.0,,Swallow Hostel 7 sinta-se em casa!,2017-07-28 01:19:38.576745,38.733844,-9.150675,0101000020E61000004CA60A46254D22C0D32EA699EE5D4340
18791292,1480,61255540,Shared room,,Lisbon,,Arroios,0,0.0,6,1.0,,24.0,,Hostel Seven Hills - Quarto S. Vicente,2017-07-28 01:19:38.574566,38.726522,-9.135839,0101000020E6100000EE0A7DB08C4522C08AE942ACFE5C4340
